cycles	cost		deployment limit	cost
3	49938		0.36	49938
2	36708		0.33	36708
2	40845		0.8	40845
2	39291		0.49	39291
2	27270		0.97	27270
3	44982		0.42	44982
2	38997		0.84	38997
3	32550		0.8	32550
2	37485		0.47	37485
2	31878		0.87	31878
2	33033		0.51	33033
2	36246		0.96	36246
4	47126		0.36	47126
3	59430		0.1	59430
3	50589		0.45	50589
2	35952		0.31	35952
4	59805		0.22	59805
2	35721		0.92	35721
3	51450		0.17	51450
7	102228		0.04	102228
2	26368		0.77	26368
5	51590		0.51	51590
4	50411		0.18	50411
3	39598		0.82	39598
3	30372		0.8	30372
2	36981		0.76	36981
5	95718		0.04	95718
5	92001		0.06	92001
2	41307		0.97	41307
2	28392		0.89	28392
2	39816		0.99	39816
2	25422		0.98	25422
2	41370		0.67	41370
2	39879		0.17	39879
4	59661		0.29	59661
2	27688		0.76	27688
3	58338		0.1	58338
4	78267		0.08	78267
3	46110		0.49	46110
2	25664		0.86	25664
2	39900		0.77	39900
2	38157		0.19	38157
2	38934		0.6	38934
2	36099		0.94	36099
2	38766		0.34	38766
2	39543		0.71	39543
2	39081		0.4	39081
2	38640		0.87	38640
2	37842		0.5	37842
2	30555		0.91	30555
4	72492		0.15	72492
3	52038		0.23	52038
2	37632		0.21	37632
2	35994		0.95	35994
4	77826		0.05	77826
4	56616		0.05	56616
2	41328		0.05	41328
3	52395		0.3	52395
4	60886		0.41	60886
3	46261		0.7	46261
3	42367		0.46	42367
3	50358		0.13	50358
2	38157		0.54	38157
2	28238		0.8	28238
2	34419		0.41	34419
3	40905		0.62	40905
2	29536		0.95	29536
2	34692		0.79	34692
2	33516		0.85	33516
2	27490		0.88	27490
1	21000		1	21000
2	38955		0.76	38955
5	79924		0.02	79924
5	81495		0.03	81495
2	41979		0.15	41979
2	38010		0.59	38010
2	38556		0.24	38556
2	24762		0.99	24762
2	37443		0.75	37443
2	30639		0.68	30639
2	35532		0.62	35532
2	30284		0.87	30284
3	49920		0.1	49920
3	47982		0.59	47982
4	48286		0.59	48286
2	26588		0.91	26588
2	33327		0.67	33327
2	34083		0.93	34083
3	48825		0.36	48825
3	54222		0.28	54222
2	41097		0.88	41097
